function name,header files,return type,arguments,number of arguments,format string,POSIX api,use _GNU_SOURCE
mvaddchnstr,['curses.h'],int,"['int y', 'int x', 'const chtype *chstr', 'int n']",4,False,False,False
mvwaddchstr,['curses.h'],int,"['WINDOW *win', 'int y', 'int x', 'const chtype *chstr']",4,False,False,False
mvwaddchnstr,['curses.h'],int,"['WINDOW *win', 'int y', 'int x', 'const chtype *chstr', 'int n']",5,False,False,False
addstr,['curses.h'],int,['const char *str'],1,False,False,False
addnstr,['curses.h'],int,"['const char *str', 'int n']",2,False,False,False
waddstr,['curses.h'],int,"['WINDOW *win', 'const char *str']",2,False,False,False
waddnstr,['curses.h'],int,"['WINDOW *win', 'const char *str', 'int n']",3,False,False,False
mvaddstr,['curses.h'],int,"['int y', 'int x', 'const char *str']",3,False,False,False
mvaddnstr,['curses.h'],int,"['int y', 'int x', 'const char *str', 'int n']",4,False,False,False
mvwaddstr,['curses.h'],int,"['WINDOW *win', 'int y', 'int x', 'const char *str']",4,False,False,False
mvwaddnstr,['curses.h'],int,"['WINDOW *win', 'int y', 'int x', 'const char *str', 'int n']",5,False,False,False
addwstr,['curses.h'],int,['const wchar_t *wstr'],1,False,False,False
addnwstr,['curses.h'],int,"['const wchar_t *wstr', 'int n']",2,False,False,False
waddwstr,['curses.h'],int,"['WINDOW *win', 'const wchar_t *wstr']",2,False,False,False
waddnwstr,['curses.h'],int,"['WINDOW *win', 'const wchar_t *wstr', 'int n']",3,False,False,False
mvaddwstr,['curses.h'],int,"['int y', 'int x', 'const wchar_t *wstr']",3,False,False,False
mvaddnwstr,['curses.h'],int,"['int y', 'int x', 'const wchar_t *wstr', 'int n']",4,False,False,False
mvwaddwstr,['curses.h'],int,"['WINDOW *win', 'int y', 'int x', 'const wchar_t *wstr']",4,False,False,False
mvwaddnwstr,['curses.h'],int,"['WINDOW *win', 'int y', 'int x', 'const wchar_t *wstr', 'int n']",5,False,False,False
addseverity,['fmtmsg.h'],int,"['int severity', 'const char *s']",2,False,False,False
add_wchstr,['curses.h'],int,['const cchar_t *wchstr'],1,False,False,False
add_wchnstr,['curses.h'],int,"['const cchar_t *wchstr', 'int n']",2,False,False,False
wadd_wchstr,['curses.h'],int,"['WINDOW * win', 'const cchar_t *wchstr']",2,False,False,False
wadd_wchnstr,['curses.h'],int,"['WINDOW * win', 'const cchar_t *wchstr', 'int n']",3,False,False,False
mvadd_wchstr,['curses.h'],int,"['int y', 'int x', 'const cchar_t *wchstr']",3,False,False,False
mvadd_wchnstr,['curses.h'],int,"['int y', 'int x', 'const cchar_t *wchstr', 'int n']",4,False,False,False
mvwadd_wchstr,['curses.h'],int,"['WINDOW *win', 'int y', 'int x', 'const cchar_t *wchstr']",4,False,False,False
mvwadd_wchnstr,['curses.h'],int,"['WINDOW *win', 'int y', 'int x', 'const cchar_t *wchstr', 'int n']",5,False,False,False
adjtime,['sys/time.h'],int,"['const struct timeval *delta', 'struct timeval *olddelta']",2,False,False,False
(*volatile __malloc_hook),['malloc.h'],void *,"['size_t size', 'const void *caller']",2,False,False,False
(*volatile __realloc_hook),['malloc.h'],void *,"['void *ptr', 'size_t size', 'const void *caller']",3,False,False,False
(*volatile __memalign_hook),['malloc.h'],void *,"['size_t alignment', 'size_t size', 'const void *caller']",3,False,False,False
(*volatile __free_hook),['malloc.h'],void,"['void *ptr', 'const void *caller']",2,False,False,False
(*__malloc_initialize_hook),['malloc.h'],void,['void'],0,False,False,False
(*volatile __after_morecore_hook),['malloc.h'],void,['void'],0,False,False,False
aio_cancel,['aio.h'],int,"['int fd', 'struct aiocb *aiocbp']",2,False,False,False
 ,['aio.h'],int,"['int fildes', 'struct aiocb *aiocbp']",2,False,True,False
aio_error,['aio.h'],int,['const struct aiocb *aiocbp'],1,False,False,False
 ,['aio.h'],int,['const struct aiocb *aiocbp'],1,False,True,False
aio_fsync,['aio.h'],int,"['int op', 'struct aiocb *aiocbp']",2,False,False,False
 ,['aio.h'],int,"['int op', 'struct aiocb *aiocbp']",2,False,True,False
aio_init,['aio.h'],void,['const struct aioinit *init'],1,False,False,True
aio_read,['aio.h'],int,['struct aiocb *aiocbp'],1,False,False,False
 ,['aio.h'],int,['struct aiocb *aiocbp'],1,False,True,False
aio_return,['aio.h'],ssize_t,['struct aiocb *aiocbp'],1,False,False,False
 ,['aio.h'],ssize_t,['struct aiocb *aiocbp'],1,False,True,False
aio_suspend,['aio.h'],int,"['const struct aiocb *const aiocb_list[]', 'int nitems', 'const struct timespec *restrict timeout']",3,False,False,False
 ,['aio.h'],int,"['const struct aiocb *const list[]', 'int nent', 'const struct timespec *timeout']",3,False,True,False
aio_write,['aio.h'],int,['struct aiocb *aiocbp'],1,False,False,False
 ,['aio.h'],int,['struct aiocb *aiocbp'],1,False,True,False
alarm,['unistd.h'],unsigned,['unsigned seconds'],1,False,True,False
posix_memalign,['stdlib.h'],int,"['void **memptr', 'size_t alignment', 'size_t size']",3,False,True,False
aligned_alloc,['stdlib.h'],void *,"['size_t alignment', 'size_t size']",2,False,False,False
valloc,['stdlib.h'],void *,['size_t size'],1,False,False,False
memalign,['malloc.h'],void *,"['size_t alignment', 'size_t size']",2,False,False,False
pvalloc,['malloc.h'],void *,['size_t size'],1,False,False,False
alloca,['alloca.h'],void *,['size_t size'],1,False,False,False
alloc_pair,['curses.h'],int,"['int fg', 'int bg']",2,False,False,False
find_pair,['curses.h'],int,"['int fg', 'int bg']",2,False,False,False
free_pair,['curses.h'],int,['int pair'],1,False,False,False
scandir,['dirent.h'],int,"['const char *dir', 'struct dirent ***namelist', 'int (*sel)(const struct dirent *)', 'int (*compar)(const struct dirent **, const struct dirent **)']",4,False,True,False
alphasort,['dirent.h'],int,"['const struct dirent **a', 'const struct dirent **b']",2,False,False,False
 ,['dirent.h'],int,"['const struct dirent **d1', 'const struct dirent **d2']",2,False,True,False
versionsort,['dirent.h'],int,"['const struct dirent **a', 'const struct dirent **b']",2,False,False,False
scandirat,"['fcntl.h', 'dirent.h']",int,"['int dirfd', 'const char *restrict dirp', 'struct dirent ***restrict namelist', 'int (*filter)(const struct dirent *)', 'int (*compar)(const struct dirent **, const struct dirent **)']",5,False,False,False
selinux_status_open,['selinux/avc.h'],int,['int fallback'],1,False,False,False
selinux_status_close,['selinux/avc.h'],void,['void'],0,False,False,False
selinux_status_updated,['selinux/avc.h'],int,['void'],0,False,False,False
selinux_status_getenforce,['selinux/avc.h'],int,['void'],0,False,False,False
selinux_status_policyload,['selinux/avc.h'],int,['void'],0,False,False,False
selinux_status_deny_unknown,['selinux/avc.h'],int,['void'],0,False,False,False
argz_add,['argz.h'],error_t,"['char **restrict argz', 'size_t *restrict argz_len', 'const char *restrict str']",3,False,False,False
argz_add_sep,['argz.h'],error_t,"['char **restrict argz', 'size_t *restrict argz_len', 'const char *restrict str', 'int delim']",4,False,False,False
argz_append,['argz.h'],error_t,"['char **restrict argz', 'size_t *restrict argz_len', 'const char *restrict buf', 'size_t buf_len']",4,False,False,False
argz_count,['argz.h'],size_t,"['const char *argz', 'size_t argz_len']",2,False,False,False
argz_create,['argz.h'],error_t,"['char *const argv[]', 'char **restrict argz', 'size_t *restrict argz_len']",3,False,False,False
argz_create_sep,['argz.h'],error_t,"['const char *restrict str', 'int sep', 'char **restrict argz', 'size_t *restrict argz_len']",4,False,False,False
argz_delete,['argz.h'],void,"['char **restrict argz', 'size_t *restrict argz_len', 'char *restrict entry']",3,False,False,False
argz_extract,['argz.h'],void,"['const char *restrict argz', 'size_t argz_len', 'char **restrict argv']",3,False,False,False
argz_insert,['argz.h'],error_t,"['char **restrict argz', 'size_t *restrict argz_len', 'char *restrict before', 'const char *restrict entry']",4,False,False,False
argz_next,['argz.h'],char *,"['const char *restrict argz', 'size_t argz_len', 'const char *restrict entry']",3,False,False,False
argz_replace,['argz.h'],error_t,"['char **restrict argz', 'size_t *restrict argz_len', 'const char *restrict str', 'const char *restrict with', 'unsigned int *restrict replace_count']",5,False,False,False
argz_stringify,['argz.h'],void,"['char *argz', 'size_t len', 'int sep']",3,False,False,False
asctime,['time.h'],char *,['const struct tm *tm'],1,False,False,False
 ,['time.h'],char *,['const struct tm *timeptr'],1,False,True,False
asctime_r,['time.h'],char *,"['const struct tm *restrict tm', 'char *restrict buf']",2,False,False,False
 ,['time.h'],char *,"['const struct tm *restrict tm', 'char *restrict buf']",2,False,True,False
ctime,['time.h'],char *,['const time_t *timep'],1,False,False,False
 ,['time.h'],char *,['const time_t *clock'],1,False,True,False
ctime_r,['time.h'],char *,"['const time_t *restrict timep', 'char *restrict buf']",2,False,False,False
 ,['time.h'],char *,"['const time_t *clock', 'char *buf']",2,False,True,False
gmtime,['time.h'],struct tm *,['const time_t *timer'],1,False,True,False
gmtime_r,['time.h'],struct tm *,"['const time_t *restrict timer', 'struct tm *restrict result']",2,False,True,False
localtime,['time.h'],struct tm *,['const time_t *timer'],1,False,True,False
localtime_r,['time.h'],struct tm *,"['const time_t *restrict timer', 'struct tm *restrict result']",2,False,True,False
mktime,['time.h'],time_t,['struct tm *timeptr'],1,False,True,False
asin,['math.h'],double,['double x'],1,False,False,False
 ,['math.h'],double,['double x'],1,False,True,False
asinf,['math.h'],float,['float x'],1,False,False,False
 ,['math.h'],float,['float x'],1,False,True,False
asinl,['math.h'],long double,['long double x'],1,False,False,False
 ,['math.h'],long double,['long double x'],1,False,True,False
asinh,['math.h'],double,['double x'],1,False,False,False
 ,['math.h'],double,['double x'],1,False,True,False
asinhf,['math.h'],float,['float x'],1,False,False,False
 ,['math.h'],float,['float x'],1,False,True,False
asinhl,['math.h'],long double,['long double x'],1,False,False,False
 ,['math.h'],long double,['long double x'],1,False,True,False
asprintf,['stdio.h'],int,"['char **restrict strp', 'const char *restrict fmt', '...']",3 or more,False,False,True
vasprintf,['stdio.h'],int,"['char **restrict strp', 'const char *restrict fmt', 'va_list ap']",3,False,False,True
assert,['assert.h'],void,['scalar expression'],1,False,False,False
 ,['assert.h'],void,['scalar expression'],1,False,True,False
assert_perror,['assert.h'],void,['int errnum'],1,False,False,True
use_default_colors,['curses.h'],int,['void'],0,False,False,False
assume_default_colors,['curses.h'],int,"['int fg', 'int bg']",2,False,False,False
atan,['math.h'],double,['double x'],1,False,False,False
 ,['math.h'],double,['double x'],1,False,True,False
atanf,['math.h'],float,['float x'],1,False,False,False
 ,['math.h'],float,['float x'],1,False,True,False
atanl,['math.h'],long double,['long double x'],1,False,False,False
 ,['math.h'],long double,['long double x'],1,False,True,False
atan2,['math.h'],double,"['double y', 'double x']",2,False,False,False
 ,['math.h'],double,"['double y', 'double x']",2,False,True,False
atan2f,['math.h'],float,"['float y', 'float x']",2,False,False,False
 ,['math.h'],float,"['float y', 'float x']",2,False,True,False
atan2l,['math.h'],long double,"['long double y', 'long double x']",2,False,False,False
 ,['math.h'],long double,"['long double y', 'long double x']",2,False,True,False
atanh,['math.h'],double,['double x'],1,False,False,False
 ,['math.h'],double,['double x'],1,False,True,False
atanhf,['math.h'],float,['float x'],1,False,False,False
 ,['math.h'],float,['float x'],1,False,True,False
atanhl,['math.h'],long double,['long double x'],1,False,False,False
 ,['math.h'],long double,['long double x'],1,False,True,False
atexit,['stdlib.h'],int,['void (*function)(void)'],1,False,False,False
 ,['stdlib.h'],int,['void (*func)(void)'],1,False,True,False
atof,['stdlib.h'],double,['const char *nptr'],1,False,False,False
 ,['stdlib.h'],double,['const char *str'],1,False,True,False
atoi,['stdlib.h'],int,['const char *nptr'],1,False,False,False
 ,['stdlib.h'],int,['const char *str'],1,False,True,False
atol,['stdlib.h'],long,['const char *nptr'],1,False,False,False
 ,['stdlib.h'],long,['const char *nptr'],1,False,True,False
atoll,['stdlib.h'],long long,['const char *nptr'],1,False,False,False
 ,['stdlib.h'],long long,['const char *nptr'],1,False,True,False
attr_get,['attr/attributes.h'],int,"['const char *path', 'const char *attrname', 'char *attrvalue', 'int *valuelength', 'int flags']",5,False,False,False
wattr_get,['curses.h'],int,"['WINDOW *win', 'attr_t *attrs', 'short *pair', 'void *opts']",4,False,False,False
attr_set,['curses.h'],int,"['attr_t attrs', 'short pair', 'void *opts']",3,False,False,False
wattr_set,['curses.h'],int,"['WINDOW *win', 'attr_t attrs', 'short pair', 'void *opts']",4,False,False,False
attr_off,['curses.h'],int,"['attr_t attrs', 'void *opts']",2,False,False,False
wattr_off,['curses.h'],int,"['WINDOW *win', 'attr_t attrs', 'void *opts']",3,False,False,False
attr_on,['curses.h'],int,"['attr_t attrs', 'void *opts']",2,False,False,False
wattr_on,['curses.h'],int,"['WINDOW *win', 'attr_t attrs', 'void *opts']",3,False,False,False
attroff,['curses.h'],int,['int attrs'],1,False,False,False
wattroff,['curses.h'],int,"['WINDOW *win', 'int attrs']",2,False,False,False
attron,['curses.h'],int,['int attrs'],1,False,False,False
wattron,['curses.h'],int,"['WINDOW *win', 'int attrs']",2,False,False,False
attrset,['curses.h'],int,['int attrs'],1,False,False,False
wattrset,['curses.h'],int,"['WINDOW *win', 'int attrs']",2,False,False,False
chgat,['curses.h'],int,"['int n', 'attr_t attr', 'short pair', 'const void *opts']",4,False,False,False
wchgat,['curses.h'],int,"['WINDOW *win', 'int n', 'attr_t attr', 'short pair', 'const void *opts']",5,False,False,False
mvchgat,['curses.h'],int,"['int y', 'int x', 'int n', 'attr_t attr', 'short pair', 'const void *opts']",6,False,False,False
mvwchgat,['curses.h'],int,"['WINDOW *win', 'int y', 'int x', 'int n', 'attr_t attr', 'short pair', 'const void *opts']",7,False,False,False
color_set,['curses.h'],int,"['short pair', 'void* opts']",2,False,False,False
wcolor_set,['curses.h'],int,"['WINDOW *win', 'short pair', 'void* opts']",3,False,False,False
standend,['curses.h'],int,['void'],0,False,False,False
wstandend,['curses.h'],int,['WINDOW *win'],1,False,False,False
standout,['curses.h'],int,['void'],0,False,False,False
wstandout,['curses.h'],int,['WINDOW *win'],1,False,False,False
attr_getf,['attr/attributes.h'],int,"['int fd', 'const char *attrname', 'char *attrvalue', 'int *valuelength', 'int flags']",5,False,False,False
attr_list,['attr/attributes.h'],int,"['const char *path', 'char *buffer', 'const int buffersize', 'int flags', 'attrlist_cursor_t *cursor']",5,False,False,False
attr_listf,['attr/attributes.h'],int,"['int fd', 'char *buffer', 'const int buffersize', 'int flags', 'attrlist_cursor_t *cursor']",5,False,False,False
path_to_handle,"['sys/types.h', 'xfs/handle.h']",int,"['char *path', 'void **hanp', 'size_t *hlen']",3,False,False,False
path_to_fshandle,"['sys/types.h', 'xfs/handle.h']",int,"['char *path', 'void **hanp', 'size_t *hlen']",3,False,False,False
fd_to_handle,"['sys/types.h', 'xfs/handle.h']",int,"['int fd', 'void **hanp', 'size_t *hlen']",3,False,False,False
handle_to_fshandle,"['sys/types.h', 'xfs/handle.h']",int,"['void *hanp', 'size_t hlen', 'void **fshanp', 'size_t *fshlen']",4,False,False,False
open_by_handle,"['sys/types.h', 'xfs/handle.h']",int,"['void *hanp', 'size_t hlen', 'int oflag']",3,False,False,False
readlink_by_handle,"['sys/types.h', 'xfs/handle.h']",int,"['void *hanp', 'size_t hlen', 'void *buf', 'size_t bs']",4,False,False,False
attr_multi_by_handle,"['sys/types.h', 'xfs/handle.h']",int,"['void *hanp', 'size_t hlen', 'void *buf', 'int rtrvcnt', 'int flags']",5,False,False,False
attr_list_by_handle,"['sys/types.h', 'xfs/handle.h']",int,"['void *hanp', 'size_t hlen', 'char *buf', 'size_t bufsiz', 'int flags', 'struct attrlist_cursor *cursor']",6,False,False,False
fssetdm_by_handle,"['sys/types.h', 'xfs/handle.h']",int,"['void *hanp', 'size_t hlen', 'struct fsdmidata *fssetdm']",3,False,False,False
free_handle,"['sys/types.h', 'xfs/handle.h']",void,"['void *hanp', 'size_t hlen']",2,False,False,False
getparents_by_handle,"['sys/types.h', 'xfs/handle.h']",int,"['void *hanp', 'size_t hlen', 'parent_t *buf', 'size_t bufsiz', 'parent_cursor_t *cursor', 'unsigned int *count', 'unsigned int *more']",7,False,False,False
getparentpaths_by_handle,"['sys/types.h', 'xfs/handle.h']",int,"['void *hanp', 'size_t hlen', 'parent_t *buf', 'size_t bufsiz', 'parent_cursor_t *cursor', 'unsigned int *count', 'unsigned int *more']",7,False,False,False
attr_remove,['attr/attributes.h'],int,"['const char *path', 'const char *attrname', 'int flags']",3,False,False,False
attr_removef,['attr/attributes.h'],int,"['int fd', 'const char *attrname', 'int flags']",3,False,False,False
attr_setf,['attr/attributes.h'],int,"['int fd', 'const char *attrname', 'const char *attrvalue', 'const int valuelength', 'int flags']",5,False,False,False
audit_add_rule_data,['libaudit.h'],int,"['int fd', 'struct audit_rule_data *rule', 'int flags', 'int action']",4,False,False,False
audit_add_watch,['libaudit.h'],int,"['struct audit_rule_data **rulep', 'const char *path']",2,False,False,False
audit_close,['libaudit.h'],void,['int fd'],1,False,False,False
audit_delete_rule_data,['libaudit.h'],int,"['int fd', 'struct audit_rule_data *rule', 'int flags', 'int action']",4,False,False,False
audit_detect_machine,['libaudit.h'],int,['void'],0,False,False,False
audit_encode_nv_string,['libaudit.h'],char *,"['const char *name', 'const char *value', 'unsigned int vlen']",3,False,False,False
audit_encode_value,['libaudit.h'],char *,"['char *final', 'const char *buf', 'unsigned int size']",3,False,False,False
audit_getloginuid,['libaudit.h'],uid_t,['void'],0,False,False,False
audit_get_reply,['libaudit.h'],int,"['int fd', 'struct audit_reply *rep', 'reply_t block', 'int peek']",4,False,False,False
audit_get_session,['libaudit.h'],uin32_t,['void'],0,False,False,False
audit_is_enabled,['libaudit.h'],int,['int fd'],1,False,False,False
audit_log_acct_message,['libaudit.h'],int,"['int audit_fd', 'int type', 'const char *pgname', 'const char *op', 'const char *name', 'unsigned int id', 'const char *host', 'const char *addr', 'const char *tty', 'int result']",10,False,False,False
audit_log_semanage_message,['libaudit.h'],int,"['int audit_fd', 'int type', 'const char *pgname', 'const char *op', 'const char *name', 'unsigned int id', 'const char *new_seuser', 'const char *new_role', 'const char *new_range', 'const char *old_seuser', 'const char *old_role', 'const char *old_range', 'const char *host', 'const char *addr', 'const char *tty', 'int result']",16,False,False,False
audit_log_user_avc_message,['libaudit.h'],int,"['int audit_fd', 'int type', 'const char *message', 'const char *hostname', 'const char *addr', 'const char *tty', 'uid_t uid']",7,False,False,False
audit_log_user_command,['libaudit.h'],int,"['int audit_fd', 'int type', 'const char *command', 'const char *tty', 'int result']",5,False,False,False
audit_log_user_comm_message,['libaudit.h'],int,"['int audit_fd', 'int type', 'const char *message', 'const char *comm', 'const char *hostname', 'const char *addr', 'const char *tty', 'int result']",8,False,False,False
audit_log_user_message,['libaudit.h'],int,"['int audit_fd', 'int type', 'const char *message', 'const char *hostname', 'const char *addr', 'const char *tty', 'int result']",7,False,False,False
audit_open,['libaudit.h'],int,['void'],0,False,False,False
audit_request_rules_list_data,['libaudit.h'],int,['int fd'],1,False,False,False
audit_request_signal_info,['libaudit.h'],int,['int fd'],1,False,False,False
audit_request_status,['libaudit.h'],int,['int fd'],1,False,False,False
audit_set_backlog_limit,['libaudit.h'],int,"['int fd', 'uint32_t limit']",2,False,False,False
audit_set_backlog_wait_time,['libaudit.h'],int,"['int fd', 'uint32_t bwt']",2,False,False,False
audit_set_enabled,['libaudit.h'],int,"['int fd', 'uint32_t enabled']",2,False,False,False
audit_set_failure,['libaudit.h'],int,"['int fd', 'uint32_t failure']",2,False,False,False
audit_setloginuid,['libaudit.h'],int,['uid_t uid'],1,False,False,False
audit_set_pid,['libaudit.h'],int,"['int fd', 'uint32_t pid', 'rep_wait_t wmode']",3,False,False,False
audit_set_rate_limit,['libaudit.h'],int,"['int fd', 'uint32_t limit']",2,False,False,False
audit_update_watch_perms,['libaudit.h'],int,"['struct audit_rule_data *rule', 'int perms']",2,False,False,False
audit_value_needs_encoding,['libaudit.h'],int,"['const char *str', 'unsigned int size']",2,False,False,False
auparse_add_callback,['auparse.h'],void,"['auparse_state_t *au', 'auparse_callback_ptr callback', 'void *user_data', 'user_destroy user_destroy_func']",4,False,False,False
auparse_destroy,['auparse.h'],void,['auparse_state_t *au'],1,False,False,False
auparse_destroy_ext,['auparse.h'],void,"['auparse_state_t *au', 'auparse_destroy_what_t what']",2,False,False,False
auparse_feed,['auparse.h'],int,"['auparse_state_t *au', 'const char *data', 'size_t data_len']",3,False,False,False
auparse_feed_age_events,['auparse.h'],void,['auparse_state_t *au'],1,False,False,False
auparse_feed_has_data,['auparse.h'],int,['const auparse_state_t *au'],1,False,False,False
auparse_find_field,['auparse.h'],const char *,"['auparse_state_t *au', 'const char *name']",2,False,False,False
auparse_find_field_next,['auparse.h'],const char *,['auparse_state_t *au'],1,False,False,False
auparse_first_field,['auparse.h'],int,['auparse_state_t *au'],1,False,False,False
auparse_first_record,['auparse.h'],int,['auparse_state_t *au'],1,False,False,False
auparse_flush_feed,['auparse.h'],int,['auparse_state_t *au'],1,False,False,False
auparse_get_field_int,['auparse.h'],int,['auparse_state_t *au'],1,False,False,False
