function name,header files,return type,arguments,number of arguments,format string,POSIX api,use _GNU_SOURCE
 ,['stdlib.h'],int,['const char *str'],1,False,True,False
atol,['stdlib.h'],long,['const char *nptr'],1,False,False,False
 ,['stdlib.h'],long,['const char *nptr'],1,False,True,False
atoll,['stdlib.h'],long long,['const char *nptr'],1,False,False,False
 ,['stdlib.h'],long long,['const char *nptr'],1,False,True,False
authnone_create,['rpc/rpc.h'],AUTH *,['void'],0,False,False,False
authunix_create,['rpc/rpc.h'],AUTH *,"['char *host', 'uid_t uid', 'gid_t gid', 'int len', 'gid_t *aup_gids']",5,False,False,False
authunix_create_default,['rpc/rpc.h'],AUTH *,['void'],0,False,False,False
backtrace,['execinfo.h'],int ,"['void **buffer', 'int size']",2,False,False,False
backtrace_symbols,['execinfo.h'],char **,"['void *const *buffer', 'int size']",2,False,False,False
backtrace_symbols_fd,['execinfo.h'],void ,"['void *const *buffer', 'int size', 'int fd']",3,False,False,False
basename,['libgen.h'],char *,['char *path'],1,False,False,False
 ,['libgen.h'],char *,['char *path'],1,False,True,False
bcmp,['strings.h'],int,"['const void *s1', 'const void *s2', 'size_t n']",3,False,False,False
bcopy,['strings.h'],void,"['const void *src', 'void *dest', 'size_t n']",3,False,False,False
bind,['sys/socket.h'],int,"['int socket', 'const struct sockaddr *address', 'socklen_t address_len']",3,False,True,False
bindresvport,"['sys/types.h', 'netinet/in.h']",int,"['int sockfd', 'struct sockaddr_in *sin']",2,False,False,False
bindtextdomain,['libintl.h'],char *,"['const char * domainname', 'const char * dirname']",2,False,False,False
bind_textdomain_codeset,['libintl.h'],char *,"['const char * domainname', 'const char * codeset']",2,False,False,False
bsd_signal,['signal.h'],sighandler_t,"['int signum', 'sighandler_t handler']",2,False,False,False
bsearch,['stdlib.h'],void *,"['const void *key', 'const void *base', 'size_t nmemb', 'size_t size', 'int (*compar)(const void *, const void *)']",5,False,False,False
 ,['stdlib.h'],void *,"['const void *key', 'const void *base', 'size_t nel', 'size_t width', 'int (*compar)(const void *, const void *)']",5,False,True,False
btowc,['wchar.h'],wint_t,['int c'],1,False,False,False
 ,"['stdio.h', 'wchar.h']",wint_t,['int c'],1,False,True,False
bzero,['string.h'],void,"['void *s', 'size_t n']",2,False,False,False
cabs,['complex.h'],double,['double complex z'],1,False,False,False
 ,['complex.h'],double,['double complex z'],1,False,True,False
cabsf,['complex.h'],float,['float complex z'],1,False,False,False
 ,['complex.h'],float,['float complex z'],1,False,True,False
cabsl,['complex.h'],long double,['long double complex z'],1,False,False,False
 ,['complex.h'],long double,['long double complex z'],1,False,True,False
cacos,['complex.h'],double complex,['double complex z'],1,False,False,False
 ,['complex.h'],double complex,['double complex z'],1,False,True,False
cacosf,['complex.h'],float complex,['float complex z'],1,False,False,False
 ,['complex.h'],float complex,['float complex z'],1,False,True,False
cacosh,['complex.h'],double complex,['double complex z'],1,False,False,False
 ,['complex.h'],double complex,['double complex z'],1,False,True,False
cacoshf,['complex.h'],float complex,['float complex z'],1,False,False,False
 ,['complex.h'],float complex,['float complex z'],1,False,True,False
cacoshl,['complex.h'],long double complex,['long double complex z'],1,False,False,False
 ,['complex.h'],long double complex,['long double complex z'],1,False,True,False
cacosl,['complex.h'],long double complex,['long double complex z'],1,False,False,False
 ,['complex.h'],long double complex,['long double complex z'],1,False,True,False
calloc,['stdlib.h'],void *,"['size_t nmemb', 'size_t size']",2,False,False,False
 ,['stdlib.h'],void *,"['size_t nelem', 'size_t elsize']",2,False,True,False
callrpc,['rpc/rpc.h'],int,"['char *host', 'unsigned long prognum', 'unsigned long versnum', 'unsigned long procnum', 'xdrproc_t inproc', 'const char *in', 'xdrproc_t outproc', 'char *out']",8,False,False,False
canonicalize_file_name,['stdlib.h'],char *,['const char *path'],1,False,False,True
carg,['complex.h'],double,['double complex z'],1,False,False,False
 ,['complex.h'],double,['double complex z'],1,False,True,False
cargf,['complex.h'],float,['float complex z'],1,False,False,False
 ,['complex.h'],float,['float complex z'],1,False,True,False
cargl,['complex.h'],long double,['long double complex z'],1,False,False,False
 ,['complex.h'],long double,['long double complex z'],1,False,True,False
casin,['complex.h'],double complex,['double complex z'],1,False,False,False
 ,['complex.h'],double complex,['double complex z'],1,False,True,False
casinf,['complex.h'],float complex,['float complex z'],1,False,False,False
 ,['complex.h'],float complex,['float complex z'],1,False,True,False
casinh,['complex.h'],double complex,['double complex z'],1,False,False,False
 ,['complex.h'],double complex,['double complex z'],1,False,True,False
casinhf,['complex.h'],float complex,['float complex z'],1,False,False,False
 ,['complex.h'],float complex,['float complex z'],1,False,True,False
casinhl,['complex.h'],long double complex,['long double complex z'],1,False,False,False
 ,['complex.h'],long double complex,['long double complex z'],1,False,True,False
casinl,['complex.h'],long double complex,['long double complex z'],1,False,False,False
 ,['complex.h'],long double complex,['long double complex z'],1,False,True,False
catan,['complex.h'],double complex,['double complex z'],1,False,False,False
 ,['complex.h'],double complex,['double complex z'],1,False,True,False
catanf,['complex.h'],float complex,['float complex z'],1,False,False,False
 ,['complex.h'],float complex,['float complex z'],1,False,True,False
catanh,['complex.h'],double complex,['double complex z'],1,False,False,False
 ,['complex.h'],double complex,['double complex z'],1,False,True,False
catanhf,['complex.h'],float complex,['float complex z'],1,False,False,False
 ,['complex.h'],float complex,['float complex z'],1,False,True,False
catanhl,['complex.h'],long double complex,['long double complex z'],1,False,False,False
 ,['complex.h'],long double complex,['long double complex z'],1,False,True,False
catanl,['complex.h'],long double complex,['long double complex z'],1,False,False,False
 ,['complex.h'],long double complex,['long double complex z'],1,False,True,False
catclose,['nl_types.h'],int,['nl_catd catalog'],1,False,False,False
 ,['nl_types.h'],int,['nl_catd catd'],1,False,True,False
catgets,['nl_types.h'],char *,"['nl_catd catalog', 'int set_number', 'int message_number', 'const char *message']",4,False,False,False
 ,['nl_types.h'],char *,"['nl_catd catd', 'int set_id', 'int msg_id', 'const char *s']",4,False,True,False
catopen,['nl_types.h'],nl_catd,"['const char *name', 'int flag']",2,False,False,False
 ,['nl_types.h'],nl_catd,"['const char *name', 'int oflag']",2,False,True,False
cbc_crypt,['rpc/des_crypt.h'],int,"['char *key', 'char *data', 'unsigned int datalen', 'unsigned int mode', 'char *ivec']",5,False,False,False
cbrt,['math.h'],double,['double x'],1,False,False,False
 ,['math.h'],double,['double x'],1,False,True,False
cbrtf,['math.h'],float,['float x'],1,False,False,False
 ,['math.h'],float,['float x'],1,False,True,False
cbrtl,['math.h'],long double,['long double x'],1,False,False,False
 ,['math.h'],long double,['long double x'],1,False,True,False
ccos,['complex.h'],double complex,['double complex z'],1,False,False,False
 ,['complex.h'],double complex,['double complex z'],1,False,True,False
ccosf,['complex.h'],float complex,['float complex z'],1,False,False,False
 ,['complex.h'],float complex,['float complex z'],1,False,True,False
ccosh,['complex.h'],double complex,['double complex z'],1,False,False,False
 ,['complex.h'],double complex,['double complex z'],1,False,True,False
ccoshf,['complex.h'],float complex,['float complex z'],1,False,False,False
 ,['complex.h'],float complex,['float complex z'],1,False,True,False
ccoshl,['complex.h'],long double complex,['long double complex z'],1,False,False,False
 ,['complex.h'],long double complex,['long double complex z'],1,False,True,False
ccosl,['complex.h'],long double complex,['long double complex z'],1,False,False,False
 ,['complex.h'],long double complex,['long double complex z'],1,False,True,False
ceil,['math.h'],double,['double x'],1,False,False,False
 ,['math.h'],double,['double x'],1,False,True,False
ceilf,['math.h'],float,['float x'],1,False,False,False
 ,['math.h'],float,['float x'],1,False,True,False
ceill,['math.h'],long double,['long double x'],1,False,False,False
 ,['math.h'],long double,['long double x'],1,False,True,False
cexp,['complex.h'],double complex,['double complex z'],1,False,False,False
 ,['complex.h'],double complex,['double complex z'],1,False,True,False
cexpf,['complex.h'],float complex,['float complex z'],1,False,False,False
 ,['complex.h'],float complex,['float complex z'],1,False,True,False
cexpl,['complex.h'],long double complex,['long double complex z'],1,False,False,False
 ,['complex.h'],long double complex,['long double complex z'],1,False,True,False
cfgetispeed,"['termios.h', 'unistd.h']",speed_t,['const struct termios *termios_p'],1,False,False,False
 ,['termios.h'],speed_t,['const struct termios *termios_p'],1,False,True,False
cfgetospeed,"['termios.h', 'unistd.h']",speed_t,['const struct termios *termios_p'],1,False,False,False
 ,['termios.h'],speed_t,['const struct termios *termios_p'],1,False,True,False
cfmakeraw,"['termios.h', 'unistd.h']",void,['struct termios *termios_p'],1,False,False,False
cfree,['stdlib.h'],int,['void *ptr'],1,False,False,False
cfsetispeed,"['termios.h', 'unistd.h']",int,"['struct termios *termios_p', 'speed_t speed']",2,False,False,False
 ,['termios.h'],int,"['struct termios *termios_p', 'speed_t speed']",2,False,True,False
cfsetospeed,"['termios.h', 'unistd.h']",int,"['struct termios *termios_p', 'speed_t speed']",2,False,False,False
 ,['termios.h'],int,"['struct termios *termios_p', 'speed_t speed']",2,False,True,False
cfsetspeed,"['termios.h', 'unistd.h']",int,"['struct termios *termios_p', 'speed_t speed']",2,False,False,False
chdir,['unistd.h'],int,['const char *path'],1,False,True,False
chmod,['sys/stat.h'],int,"['const char *path', 'mode_t mode']",2,False,True,False
chown,['unistd.h'],int,"['const char *path', 'uid_t owner', 'gid_t group']",3,False,True,False
cimag,['complex.h'],double,['double complex z'],1,False,False,False
 ,['complex.h'],double,['double complex z'],1,False,True,False
cimagf,['complex.h'],float,['float complex z'],1,False,False,False
 ,['complex.h'],float,['float complex z'],1,False,True,False
cimagl,['complex.h'],long double,['long double complex z'],1,False,False,False
 ,['complex.h'],long double,['long double complex z'],1,False,True,False
clearenv,['stdlib.h'],int,['void'],0,False,False,False
clearerr,['stdio.h'],void,['FILE *stream'],1,False,False,False
 ,['stdio.h'],void,['FILE *stream'],1,False,True,False
clearerr_unlocked,['stdio.h'],void,['FILE *stream'],1,False,False,False
clnt_broadcast,['rpc/rpc.h'],enum clnt_stat,"['unsigned long prognum', 'unsigned long versnum', 'unsigned long procnum', 'xdrproc_t inproc', 'char *in', 'xdrproc_t outproc', 'char *out', 'resultproc_t eachresult']",8,False,False,False
clnt_create,['rpc/rpc.h'],CLIENT *,"['const char *host', 'unsigned long prog', 'unsigned long vers', 'const char *proto']",4,False,False,False
clnt_pcreateerror,['rpc/rpc.h'],void,['const char *s'],1,False,False,False
clnt_perrno,['rpc/rpc.h'],void,['enum clnt_stat stat'],1,False,False,False
clnt_perror,['rpc/rpc.h'],,"['CLIENT *clnt', 'const char *s']",2,False,False,False
clntraw_create,['rpc/rpc.h'],CLIENT *,"['unsigned long prognum', 'unsigned long versnum']",2,False,False,False
clnt_spcreateerror,['rpc/rpc.h'],char *,['const char *s'],1,False,False,False
clnt_sperrno,['rpc/rpc.h'],char *,['enum clnt_stat stat'],1,False,False,False
clnt_sperror,['rpc/rpc.h'],char *,"['CLIENT *rpch', 'const char *s']",2,False,False,False
clnttcp_create,['rpc/rpc.h'],CLIENT *,"['struct sockaddr_in *addr', 'unsigned long prognum', 'unsigned long versnum', 'int *sockp', 'unsigned int sendsz', 'unsigned int recvsz']",6,False,False,False
clntudp_bufcreate,['rpc/rpc.h'],CLIENT *,"['struct sockaddr_in *addr', 'unsigned long prognum', 'unsigned long versnum', 'struct timeval wait', 'int *sockp', 'unsigned int sendsize', 'unsigned int recosize']",7,False,False,False
clntudp_create,['rpc/rpc.h'],CLIENT *,"['struct sockaddr_in *addr', 'unsigned long prognum', 'unsigned long versnum', 'struct timeval wait', 'int *sockp']",5,False,False,False
clock,['time.h'],clock_t,['void'],0,False,False,False
 ,['time.h'],clock_t,['void'],0,False,True,False
clock_adjtime,['sys/timex.h'],int,"['clockid_t clk_id', 'struct timex *buf']",2,False,False,False
clock_getcpuclockid,['time.h'],int,"['pid_t pid', 'clockid_t *clockid']",2,False,False,False
 ,['time.h'],int,"['pid_t pid', 'clockid_t *clock_id']",2,False,True,False
clock_getres,['time.h'],int,"['clockid_t clock_id', 'struct timespec *res']",2,False,True,False
clock_gettime,['time.h'],int,"['clockid_t clock_id', 'struct timespec *tp']",2,False,True,False
clock_nanosleep,['time.h'],int,"['clockid_t clock_id', 'int flags', 'const struct timespec *rqtp', 'struct timespec *rmtp']",4,False,True,False
clock_settime,['time.h'],int,"['clockid_t clock_id', 'const struct timespec *tp']",2,False,True,False
clog,['complex.h'],double complex,['double complex z'],1,False,False,False
 ,['complex.h'],double complex,['double complex z'],1,False,True,False
clog10,['complex.h'],double complex,['double complex z'],1,False,False,True
clog10f,['complex.h'],float complex,['float complex z'],1,False,False,True
clog10l,['complex.h'],long double complex,['long double complex z'],1,False,False,True
clogf,['complex.h'],float complex,['float complex z'],1,False,False,False
 ,['complex.h'],float complex,['float complex z'],1,False,True,False
clogl,['complex.h'],long double complex,['long double complex z'],1,False,False,False
 ,['complex.h'],long double complex,['long double complex z'],1,False,True,False
close,['unistd.h'],int,['int fildes'],1,False,True,False
closedir,"['sys/types.h', 'dirent.h']",int,['DIR *dirp'],1,False,False,False
 ,['dirent.h'],int,['DIR *dirp'],1,False,True,False
closelog,['syslog.h'],void,['void'],0,False,False,False
 ,['syslog.h'],void,['void'],0,False,True,False
confstr,['unistd.h'],size_t,"['int name', 'char *buf', 'size_t len']",3,False,False,False
 ,['unistd.h'],size_t,"['int name', 'char *buf', 'size_t len']",3,False,True,False
conj,['complex.h'],double complex,['double complex z'],1,False,False,False
 ,['complex.h'],double complex,['double complex z'],1,False,True,False
conjf,['complex.h'],float complex,['float complex z'],1,False,False,False
 ,['complex.h'],float complex,['float complex z'],1,False,True,False
conjl,['complex.h'],long double complex,['long double complex z'],1,False,False,False
 ,['complex.h'],long double complex,['long double complex z'],1,False,True,False
connect,['sys/socket.h'],int,"['int socket', 'const struct sockaddr *address', 'socklen_t address_len']",3,False,True,False
copysign,['math.h'],double,"['double x', 'double y']",2,False,False,False
 ,['math.h'],double,"['double x', 'double y']",2,False,True,False
copysignf,['math.h'],float,"['float x', 'float y']",2,False,False,False
 ,['math.h'],float,"['float x', 'float y']",2,False,True,False
copysignl,['math.h'],long double,"['long double x', 'long double y']",2,False,False,False
 ,['math.h'],long double,"['long double x', 'long double y']",2,False,True,False
cos,['math.h'],double,['double x'],1,False,False,False
 ,['math.h'],double,['double x'],1,False,True,False
cosf,['math.h'],float,['float x'],1,False,False,False
 ,['math.h'],float,['float x'],1,False,True,False
cosh,['math.h'],double,['double x'],1,False,False,False
 ,['math.h'],double,['double x'],1,False,True,False
coshf,['math.h'],float,['float x'],1,False,False,False
 ,['math.h'],float,['float x'],1,False,True,False
coshl,['math.h'],long double,['long double x'],1,False,False,False
 ,['math.h'],long double,['long double x'],1,False,True,False
cosl,['math.h'],long double,['long double x'],1,False,False,False
 ,['math.h'],long double,['long double x'],1,False,True,False
cpow,['complex.h'],double complex,"['double complex x', 'double complex z']",2,False,False,False
 ,['complex.h'],double complex,"['double complex x', 'double complex y']",2,False,True,False
cpowf,['complex.h'],float complex,"['float complex x', 'float complex z']",2,False,False,False
 ,['complex.h'],float complex,"['float complex x', 'float complex y']",2,False,True,False
cpowl,['complex.h'],long double complex,"['long double complex x', 'long double complex z']",2,False,False,False
 ,['complex.h'],long double complex,"['long double complex x', 'long double complex y']",2,False,True,False
cproj,['complex.h'],double complex,['double complex z'],1,False,False,False
 ,['complex.h'],double complex,['double complex z'],1,False,True,False
cprojf,['complex.h'],float complex,['float complex z'],1,False,False,False
 ,['complex.h'],float complex,['float complex z'],1,False,True,False
cprojl,['complex.h'],long double complex,['long double complex z'],1,False,False,False
 ,['complex.h'],long double complex,['long double complex z'],1,False,True,False
creal,['complex.h'],double,['double complex z'],1,False,False,False
 ,['complex.h'],double,['double complex z'],1,False,True,False
crealf,['complex.h'],float,['float complex z'],1,False,False,False
 ,['complex.h'],float,['float complex z'],1,False,True,False
creall,['complex.h'],long double,['long double complex z'],1,False,False,False
 ,['complex.h'],long double,['long double complex z'],1,False,True,False
creat,"['sys/stat.h', 'fcntl.h']",int,"['const char *path', 'mode_t mode']",2,False,True,False
crypt,['unistd.h'],char *,"['const char *key', 'const char *salt']",2,False,False,False
 ,['unistd.h'],char *,"['const char *key', 'const char *salt']",2,False,True,False
crypt_r,['crypt.h'],char *,"['const char *key', 'const char *salt', 'struct crypt_data *restrict data']",3,False,False,False
csin,['complex.h'],double complex,['double complex z'],1,False,False,False
 ,['complex.h'],double complex,['double complex z'],1,False,True,False
csinf,['complex.h'],float complex,['float complex z'],1,False,False,False
 ,['complex.h'],float complex,['float complex z'],1,False,True,False
csinh,['complex.h'],double complex,['double complex z'],1,False,False,False
 ,['complex.h'],double complex,['double complex z'],1,False,True,False
csinhf,['complex.h'],float complex,['float complex z'],1,False,False,False
 ,['complex.h'],float complex,['float complex z'],1,False,True,False
csinhl,['complex.h'],long double complex,['long double complex z'],1,False,False,False
 ,['complex.h'],long double complex,['long double complex z'],1,False,True,False
csinl,['complex.h'],long double complex,['long double complex z'],1,False,False,False
 ,['complex.h'],long double complex,['long double complex z'],1,False,True,False
csqrt,['complex.h'],double complex,['double complex z'],1,False,False,False
 ,['complex.h'],double complex,['double complex z'],1,False,True,False
csqrtf,['complex.h'],float complex,['float complex z'],1,False,False,False
 ,['complex.h'],float complex,['float complex z'],1,False,True,False
csqrtl,['complex.h'],long double complex,['long double complex z'],1,False,False,False
 ,['complex.h'],long double complex,['long double complex z'],1,False,True,False
ctan,['complex.h'],double complex,['double complex z'],1,False,False,False
 ,['complex.h'],double complex,['double complex z'],1,False,True,False
ctanf,['complex.h'],float complex,['float complex z'],1,False,False,False
 ,['complex.h'],float complex,['float complex z'],1,False,True,False
ctanh,['complex.h'],double complex,['double complex z'],1,False,False,False
 ,['complex.h'],double complex,['double complex z'],1,False,True,False
ctanhf,['complex.h'],float complex,['float complex z'],1,False,False,False
 ,['complex.h'],float complex,['float complex z'],1,False,True,False
ctanhl,['complex.h'],long double complex,['long double complex z'],1,False,False,False
 ,['complex.h'],long double complex,['long double complex z'],1,False,True,False
ctanl,['complex.h'],long double complex,['long double complex z'],1,False,False,False
 ,['complex.h'],long double complex,['long double complex z'],1,False,True,False
ctermid,['stdio.h'],char *,['char *s'],1,False,False,False
 ,['stdio.h'],char *,['char *s'],1,False,True,False
ctime,['time.h'],char *,['const time_t *timep'],1,False,False,False
 ,['time.h'],char *,['const time_t *clock'],1,False,True,False
ctime_r,['time.h'],char *,"['const time_t *restrict timep', 'char *restrict buf']",2,False,False,False
 ,['time.h'],char *,"['const time_t *clock', 'char *buf']",2,False,True,False
cuserid,['stdio.h'],char *,['char *string'],1,False,False,False
daemon,['unistd.h'],int,"['int nochdir', 'int noclose']",2,False,False,False
dcgettext,['libintl.h'],char *,"['const char * domainname', 'const char * msgid', 'int category']",3,False,False,False
dcngettext,['libintl.h'],char *,"['const char * domainname', 'const char * msgid', 'const char * msgid_plural', 'unsigned long int n', 'int category']",5,False,False,False
des_setparity,['rpc/des_crypt.h'],void,['char *key'],1,False,False,False
dgettext,['libintl.h'],char *,"['const char * domainname', 'const char * msgid']",2,False,False,False
difftime,['time.h'],double,"['time_t time1', 'time_t time0']",2,False,False,False
 ,['time.h'],double,"['time_t time1', 'time_t time0']",2,False,True,False
dirfd,"['sys/types.h', 'dirent.h']",int,['DIR *dirp'],1,False,False,False
 ,['dirent.h'],int,['DIR *dirp'],1,False,True,False
dirname,['libgen.h'],char *,['char *path'],1,False,False,False
 ,['libgen.h'],char *,['char *path'],1,False,True,False
div,['stdlib.h'],div_t,"['int numerator', 'int denominator']",2,False,False,False
 ,['stdlib.h'],div_t,"['int numer', 'int denom']",2,False,True,False
dladdr,['dlfcn.h'],int,"['const void *addr', 'Dl_info *info']",2,False,False,True
dladdr1,['dlfcn.h'],int,"['const void *addr', 'Dl_info *info', 'void **extra_info', 'int flags']",4,False,False,True
dlclose,['dlfcn.h'],int,['void *handle'],1,False,False,False
 ,['dlfcn.h'],int,['void *handle'],1,False,True,False
dlerror,['dlfcn.h'],char *,['void'],0,False,False,False
 ,['dlfcn.h'],char *,['void'],0,False,True,False
dlinfo,"['link.h', 'dlfcn.h']",int,"['void *restrict handle', 'int request', 'void *restrict info']",3,False,False,True
dl_iterate_phdr,['link.h'],int,"['int (*callback)(struct dl_phdr_info *info', 'void *data']",2,False,False,True
dlmopen,['dlfcn.h'],void *,"['Lmid_t lmid', 'const char *filename', 'int flags']",3,False,False,True
dlopen,['dlfcn.h'],void *,"['const char *file', 'int mode']",2,False,True,False
dlsym,['dlfcn.h'],void *,"['void *restrict handle', 'const char *restrict symbol']",2,False,False,False
 ,['dlfcn.h'],void *,"['void *restrict handle', 'const char *restrict name']",2,False,True,False
dlvsym,['dlfcn.h'],void *,"['void *restrict handle', 'const char *restrict symbol', 'const char *restrict version']",3,False,False,True
dngettext,['libintl.h'],char *,"['const char * domainname', 'const char * msgid', 'const char * msgid_plural', 'unsigned long int n']",4,False,False,False
dprintf,['stdio.h'],int,"['int fd', 'const char *restrict format', '...']",3 or more,True,False,False
 ,['stdio.h'],int,"['int fildes', 'const char *restrict format', '...']",3 or more,True,True,False
